dataset_name,least_count,total_graphs_train_val,total_graphs_test,vocabulary_size,graphs_with_motifs_train_val,graphs_with_motifs_test,node_coverage_train_val,node_coverage_test,motif_length_train,motif_length_test
tox21,0,7047,784,3900,7047,466,1.0,0.5633234589179775,2.9592683258533934 +- 4.471593111664874,1.9126099706744868 +- 6.067116491917253
tox21,1,7047,784,443,4080,450,0.5471908222143899,0.5290054798303531,1.8807289541683667 +- 2.4759896827561314,1.8127077223851418 +- 5.992854914000029
tox21,2,7047,784,286,4009,447,0.52225981573134,0.5148407723665055,1.7987216102271182 +- 2.2939792759613074,1.7595307917888563 +- 5.907438858830111
tox21,3,7047,784,220,3992,447,0.5102894430673275,0.5092967882178236,1.7543859649122806 +- 2.201459133889946,1.7350928641251222 +- 5.864017520981981
tox21,4,7047,784,178,3977,447,0.49983682497030596,0.5037250097009592,1.717212928963235 +- 2.1154658098420915,1.7165200391006843 +- 5.820451627112241
tox21,5,7047,784,150,3975,447,0.4913456911317191,0.49562304634277654,1.6835531982410807 +- 2.030796515901283,1.6840664711632454 +- 5.703813161878302
tox21,6,7047,784,137,3972,447,0.48768599703514104,0.4941972880695424,1.671993290720341 +- 2.015184123022466,1.6778103616813294 +- 5.698382019452405
tox21,7,7047,784,128,3971,447,0.4845092978620647,0.49130913015974265,1.6575547395620835 +- 1.9797236847462165,1.663147605083089 +- 5.62343267796432
tox21,8,7047,784,115,3968,446,0.477263785553654,0.4804297939359103,1.6294482977469513 +- 1.9064185109645426,1.6289345063538612 +- 5.506922459556291
tox21,9,7047,784,105,3962,446,0.4723087482288205,0.4768038509499369,1.6125164332018678 +- 1.8662785642134505,1.6160312805474095 +- 5.440760186231231
tox21,10,7047,784,100,3961,446,0.47007777042364485,0.4752309747756577,1.6043564984813454 +- 1.8464396954115383,1.6105571847507332 +- 5.3911644606676745
tox21,15,7047,784,79,3953,444,0.4571416613145277,0.4608655129387754,1.5618795049639602 +- 1.772379517375156,1.5683284457478006 +- 5.195126272615091
tox21,20,7047,784,66,3950,443,0.4465982654076516,0.4501032170844042,1.518042522326488 +- 1.6813002494535005,1.5282502443792767 +- 4.933248294859233
tox21,30,7047,784,52,3944,442,0.4354223200604762,0.4365108549490159,1.4819121447028423 +- 1.6452992729674214,1.4860215053763441 +- 4.829152510599388
