index,architecture,dataset,model_type,C1_mose_vs_sigmoid,C2_vanilla_vs_sigmoid,C3_vanilla_vs_gnnex,C4_vanilla_vs_pgex
4,GATConv,Mutagenicity,RBRICS,0.49994119976781953,0.06376811767406736,-0.0014797831225308025,0.02433681192127709
4,GATConv,hERG,RBRICS,0.32530097671939057,-0.036235744590603754,0.2511901023255113,0.18922590255380808
4,GATConv,Lipophilicity,RBRICS,0.4065414836175701,0.23144377583790188,-0.26334646346920937,-0.11484571837486258
4,GATConv,BBBP,RBRICS,0.15901890244376116,-0.06875057057916732,0.2536356292423113,-0.01325242643882936
4,GATConv,esol,RBRICS,0.11996378957584962,0.14761455085685982,0.2806615921561916,0.18529580020882536
4,GINConv,Mutagenicity,RBRICS,0.06261885866858417,-0.01729411841879662,0.08802035028474106,
4,GINConv,hERG,RBRICS,0.0862576181765581,-0.013257580396438207,0.13445082829563493,0.11420104702913354
4,GINConv,Lipophilicity,RBRICS,0.11511032966172535,0.04097943046409294,0.015466529223700409,-0.024744951108291422
4,GINConv,BBBP,RBRICS,0.027193476197446723,-0.007890822726908834,0.0344159178784694,-0.007506130729269001
4,GINConv,esol,RBRICS,0.021079453713417993,0.018985232365615626,-0.02074651029468685,0.0028063691424479423
4,GCNConv,Mutagenicity,RBRICS,0.6027896579943075,0.3643313414441942,0.35446072139489454,0.20090190485681764
4,GCNConv,hERG,RBRICS,0.41028875254947805,0.0019935212387931288,0.05416172053702774,-0.09526257197075787
4,GCNConv,Lipophilicity,RBRICS,0.4871035787928836,0.37581941514478284,0.05970100819992788,-0.12323991139267111
4,GCNConv,BBBP,RBRICS,0.03216528076421936,-0.06882318563759829,0.23530561912943873,0.152381570149799
4,GCNConv,esol,RBRICS,0.19065332014794134,0.12159631081104176,0.2547465575877123,0.06848586744198769
