Architecture,Type,Train_Mean,Train_Std,Validation_Mean,Validation_Std,Test_Mean,Test_Std
GATConv,MGSSL,0.76418708564,0.010074345395233579,0.78340643644,0.04584785298522942,0.78223376274,0.03581246939855148
GATConv,None,0.7862906754,0.012633961809938978,0.806873425825,0.04522351654170421,0.78221982715,0.044414362626419554
GATConv,RBRICS,0.70102736948,0.017526952418100705,0.72741308212,0.04968792718971098,0.7265625595999999,0.04213659111725033
GCNConv,MGSSL,0.75319153068,0.01865891882544546,0.77178596258,0.045906595346784644,0.7642759084799999,0.04240126913032473
GCNConv,None,0.765451777,0.00884037983381659,0.77698081732,0.03641243177361672,0.76031719446,0.03628009213838557
GCNConv,RBRICS,0.7022078991,0.021251970973631865,0.7239858031199999,0.040156622899358944,0.72010163068,0.047686041294727616
GINConv,MGSSL,0.6899376154000001,0.05449641978256793,0.72678335908,0.06840724968682031,0.75241839884,0.07584966812575544
GINConv,None,0.69661319256,0.0160065929538892,0.73216354848,0.029852197233163107,0.7328940272400001,0.0420022925066913
GINConv,RBRICS,0.64099570514,0.03488871635216508,0.707956326,0.04832518023536004,0.70846831798,0.03293307593645184
