Architecture,Type,Train_Mean,Train_Std,Validation_Mean,Validation_Std,Test_Mean,Test_Std
GATConv,MGSSL,0.763954823125,0.006446537049864507,0.7513494001,0.013845408408118655,0.7440526672000001,0.015796176049247643
GATConv,None,0.7200911671666667,0.021564557196907187,0.7049917107333333,0.027825922242333587,0.7182617234333333,0.0350945729604397
GATConv,RBRICS,0.8095612846,0.009121775433480516,0.7686158112199999,0.011557422664997156,0.76515863956,0.017627506059495868
GCNConv,MGSSL,0.7548449299,0.008563884175168995,0.73442193004,0.017439906099114773,0.74247479554,0.015103882121459942
GCNConv,None,0.71581062366,0.01767597303873645,0.70306771526,0.01400901344579337,0.71688986458,0.01809187425980151
GCNConv,RBRICS,0.8067432914199999,0.013379593242925172,0.7682624739399999,0.00924504463826058,0.7675589656999999,0.01754978317243327
GINConv,MGSSL,0.80157256312,0.009647256001198017,0.76461349004,0.009464678821266873,0.76492813668,0.01039284807792372
GINConv,None,0.79463976048,0.01690870077900036,0.76516679456,0.012378563124356192,0.76484282222,0.01546746766817847
GINConv,RBRICS,0.84504555806,0.008091679441082252,0.78977905772,0.0070028982802704375,0.77642410712,0.020229834908504187
