Architecture,Type,Train_Mean,Train_Std,Validation_Mean,Validation_Std,Test_Mean,Test_Std
GATConv,MGSSL,0.43423774244,0.030429925825256766,0.46421216726000003,0.04203981500195613,0.45501883626,0.04659090402816329
GATConv,None,0.45574332775,0.01645272536925818,0.470269650225,0.02970189614439311,0.4698846787,0.03895830894582802
GATConv,RBRICS,0.40790076258,0.021030979409281062,0.43811452390000005,0.03220610719627847,0.45175411702,0.05015331847434045
GCNConv,MGSSL,0.44052347540000003,0.03126947383757564,0.45500960945999996,0.04662441609552579,0.45323941708,0.04511734965586198
GCNConv,None,0.45568531156000003,0.03485222174533038,0.47703076602000005,0.03442435748820061,0.46501920818000003,0.05096765351897825
GCNConv,RBRICS,0.39011793734,0.014134032387178138,0.41637939211999997,0.03422491938672859,0.42204617264,0.047931237554530416
GINConv,MGSSL,0.4321837008,0.04885266242532502,0.47156769634,0.027581217916610966,0.47605419756,0.040693166524258105
GINConv,None,0.4333753884,0.03241069643665542,0.48864613176000005,0.03686355057360345,0.49600421788000004,0.03420311174362988
GINConv,RBRICS,0.40375367404,0.04228569210536379,0.47624023556,0.041968384521938074,0.47463206053999996,0.07598678629095026
