Architecture,Type,Train_Mean,Train_Std,Validation_Mean,Validation_Std,Test_Mean,Test_Std
GATConv,MGSSL,0.8372919103600001,0.0071628483502862396,0.79714445642,0.02225349317591032,0.804340316,0.020390860754075257
GATConv,None,0.7651966671,0.02718411554580171,0.734549684675,0.033345843095350575,0.7608597007,0.04307145105489503
GATConv,RBRICS,0.8598680763400001,0.015471620944624977,0.80793002576,0.031838190432342935,0.80931891798,0.026908444537042466
GCNConv,MGSSL,0.79801247834,0.007436759742561547,0.76096414764,0.015118060261961209,0.7756690736399999,0.015346657268701654
GCNConv,None,0.76964229735,0.024070147595710748,0.740423890575,0.024257917857512797,0.7636156679,0.04100184051206211
GCNConv,RBRICS,0.8649318215400001,0.0077997038840556055,0.8176023066399999,0.028892619334176382,0.8150877170799999,0.019175746701503908
GINConv,MGSSL,0.87718883608,0.004662503346581483,0.83992347328,0.007671218029915818,0.8474967232200001,0.014377926218751306
GINConv,None,0.86808761728,0.006213659027381318,0.84000901816,0.015566933817725689,0.84804870868,0.010086118432475623
GINConv,RBRICS,0.8977825339999999,0.0038463511889265,0.8505843305799999,0.018303428045391913,0.8538901509200001,0.015622994636622456
