Architecture,Type,Train_Mean,Train_Std,Validation_Mean,Validation_Std,Test_Mean,Test_Std
GATConv,MGSSL,0.76432165505,0.011627661875139252,0.766691073775,0.030659612483805252,0.781694397325,0.0413292211261023
GATConv,RBRICS,0.697465747575,0.018028433398218056,0.710394948725,0.03689274160156616,0.733465433125,0.04527315608572195
GCNConv,MGSSL,0.756396085,0.019893362705030043,0.757104992875,0.03705421503576965,0.76977041365,0.046860355505074086
GCNConv,None,0.7757918835,,0.7515363693,,0.7536654472,
GCNConv,RBRICS,0.7024664283,0.024530581825626775,0.71162483095,0.033637007352889284,0.7272313386,0.05189469926996286
GINConv,MGSSL,0.681288599975,0.05883119841272906,0.7092454582750001,0.06472157792148231,0.74624480305,0.08612088968340346
GINConv,None,0.6763138771,,0.6923002005,,0.6749483943,
GINConv,RBRICS,0.6273379922,0.01947842960626321,0.6912987232,0.035551734876884074,0.7018450349500001,0.03396563165237618
