Architecture,Type,Train_Mean,Train_Std,Validation_Mean,Validation_Std,Test_Mean,Test_Std
GATConv,MGSSL,0.87787746782,0.006233938618088315,0.8460305874399999,0.031085065012858078,0.8734106164,0.028266094012160823
GATConv,RBRICS,0.90429076428,0.012142465388293104,0.86702833062,0.03270667940056895,0.86764332676,0.03781360470461688
GCNConv,MGSSL,0.8652046954999999,0.03824772972462304,0.83668204904,0.06312995128001275,0.86724299776,0.042326152255298406
GCNConv,None,0.8568486971,,0.8220206444,,0.8814448441,
GCNConv,RBRICS,0.8879250296400001,0.05370309373390715,0.8581623013599999,0.07796076230253092,0.8650270323599999,0.03076702782896398
GINConv,MGSSL,0.92267649718,0.01925693033938081,0.8829397784399999,0.043894118766895696,0.8973494181199999,0.02679921804596387
GINConv,None,0.9268351962,,0.8909915546,,0.912470024,
GINConv,RBRICS,0.93507726384,0.009648618133551617,0.8865139798999999,0.03305703176320261,0.88303047492,0.037809661777772376
