Architecture,Type,Train_Mean,Train_Std,Validation_Mean,Validation_Std,Test_Mean,Test_Std
GATConv,MGSSL,0.7607386976999999,0.0005253412290353242,0.7444598989000001,0.001658806882248878,0.7371684630333334,0.009482887989327582
GATConv,None,0.7200911671666667,0.02156455719690713,0.7049917107333333,0.02782592224233353,0.7182617234333333,0.03509457296043965
GATConv,RBRICS,0.8095612846,0.009121775433480516,0.7686158112199999,0.011557422664997156,0.76515863956,0.017627506059495868
GCNConv,MGSSL,0.7512584552,0.003469122520563162,0.73626049525,0.01957034200310349,0.7432965016749999,0.01731093104669121
GCNConv,None,0.716437666275,0.02034614167062992,0.7038437891,0.01605162524268734,0.7160471902250001,0.02077708397536721
GCNConv,RBRICS,0.8067432914199999,0.013379593242925172,0.7682624739399999,0.00924504463826058,0.7675589656999999,0.01754978317243327
GINConv,MGSSL,0.80157256312,0.009647256001198017,0.76461349004,0.009464678821266873,0.76492813668,0.01039284807792372
GINConv,None,0.79463976048,0.016908700779000387,0.76516679456,0.012378563124356182,0.76484282222,0.015467467668178437
GINConv,RBRICS,0.84504555806,0.008091679441082252,0.78977905772,0.0070028982802704375,0.77642410712,0.020229834908504187
