motif_id,motif,mage_usage_frequency
167,*C1C(C)C(=O)C2(CO2)CC(C)C(*)C(C)C(*)C(C)C(=O)OC(C)C1C,0.0
168,*CCC(*)C*,0.0
169,*C1OC(C)C(O)C(O)C1O,0.0
170,*CCC(*)*,0.0
171,*c1ccc(*)o1,0.0
172,*c1noc(*)n1,0.0
173,*c1ncn(-c2cccc(Cl)c2*)c1*,0.0
174,*CN(C)C(*)=O,0.0
175,*C(=O)C(*)O,0.0
176,*C1CC(N)C(*)C(O)C1*,0.0
177,*C(*)C(*)C(*)C(*)(*)C,0.0
178,*c1c(*)c(*)c(O)c(C)c1*,0.0
179,*C(C)C(*)O,0.0
180,*C1COC(*)(*)O1,0.0
181,*c1ccc(Cl)cc1Cl,0.0
182,*C1CC(=O)OC(C)CC=CC=CC(O)C(C)CC(*)C(*)C1*,0.0
183,*C1CC(C)(O)C(*)C(C)O1,0.0
184,*CC(N)C(=O)O,0.0
185,*c1ccc(O)c(*)c1,0.0
186,*c1ccco1,0.0
187,*CCC(*)(*)*,0.0
188,*C1CC(O)C(O)C(C)O1,0.0
189,*=Cc1ccc(O)cc1,0.0
190,*NN,0.0
191,*CCN,0.0
192,*c1nnc(C)s1,0.0
193,*C1OCC(C)(O)C(*)C1O,0.0
194,*C(=O)C(C)(C)C,0.0
195,*C=NC(*)C(*)=O,0.0
196,*C1C(N)CC(N)C(O)C1O,0.0
197,*c1cc2c(cc1F)c(=O)c(*)cn2*,0.0
198,*C(C)(C)C(=O)O,0.0
199,*C(C)O,0.0
200,*CC(*)(O)CC(*)O*,0.0
201,*C1CC(N)C(O)C(C)O1,0.0
202,*C(*)(*)N,0.0
203,*NCNS(*)(=O)=O,0.0
204,*SCC(C)=C(*)*,0.0
205,*c1ccc(N)cc1,0.0
206,*c1csc(N=C(N)N)n1,0.0
207,*=C(CC)c1ccc(O)cc1,0.0
208,*C(*)C(C)Cl,0.0
209,*C(C(*)C(*)(*)C)C(*)C(*)(C)C(*)*,0.0
210,*C1OC(*)C(O)C(O)C1*,0.0
211,*C1C(O)C(O)C(N=C(N)N)C(O)C1N=C(N)N,0.0
212,*c1noc(C)c1*,0.0
213,*CCC(*)C,0.0
214,*N1CC(=O)NC(=O)C1,0.0
215,*c1ccc(C)nc1,0.0
216,*C1CC(O)C(*)C(C)O1,0.0
217,*c1ncc(*)c(=O)[nH]1,0.0
218,*SCC(C=C)=C(*)*,0.0
219,*C(*)C(*)(C)C(*)C(*)C(*)(O)C(*)(*)C,0.0
220,*C1=CC(=O)OC1,0.0
-1,UNK,0.0
