motif_id,motif,mage_prob_importance,mage_binary_importance
0,*C*,0.8229444026947021,0
1,*O*,0.7615448236465454,0
2,*C(*)=O,0.7608303427696228,0
3,*SC(C)(C)C(*)*,0.9139986038208008,0
4,*C(*)N(*)*,0.8477402925491333,0
5,*C(=O)C(*)*,0.7782752513885498,0
6,*N*,0.8074355721473694,0
7,*C(=O)C(*)N,0.7585529685020447,0
8,*c1ccccc1,0.8755491375923157,0
9,*CCC,0.8413203954696655,0
10,*C(=*)C(*)(C)C(*)(F)C(*)C(*)C(*)(C)C(*)(*)C(*)*,0.9692678451538086,0
11,*CC(*)F,0.9002518653869629,0
12,*CCC(=O)C=*,0.7980186939239502,0
13,*CC(*)O,0.7645703554153442,0
14,*C(=O)CO,0.632024884223938,0
15,*N(C)C,0.8170444965362549,0
16,*OC,0.7376251220703125,0
17,*c1cc(*)c(*)c(*)c1,0.9070504903793335,0
18,*CCCC(*)=O,0.8144252896308899,0
19,*CCC*,0.8589107990264893,0
20,*c1ccc(F)cc1,0.9352588653564453,0
21,*CCCC,0.8534128665924072,0
22,*C(*)C,0.8450884819030762,0
23,*N1CCCCCC1,0.8706340789794922,0
24,*CC(*)=O,0.7645703554153442,0
25,*NC,0.8068867325782776,0
26,*c1ccccc1Cl,0.8865411877632141,0
27,*C(=O)C(*)(*)*,0.776542603969574,0
28,*C(=O)C(*)C(=O)O,0.41619348526000977,0
29,*C(=O)O,0.6014853119850159,0
30,*CC,0.8263435363769531,0
31,*N(*)*,0.8219271898269653,0
32,*CC*,0.8369756937026978,0
33,*c1ccc(Cl)cc1,0.888841986656189,0
34,*C(=*)C(*)(C)C(*)(F)C(*)C(*)C(*)(*)C,0.9591573476791382,0
35,*CCC(*)(*)O,0.807970404624939,0
36,*C1CCN(*)CC1,0.8647027611732483,0
37,*OC(C)(C)O*,0.7534973621368408,0
38,*CO*,0.7660584449768066,0
39,*C#C,0.8263435363769531,0
40,*CC(*)C,0.8566500544548035,0
