motif_id,motif,mage_usage_frequency
0,*C*,0.003484320593997836
1,*O*,0.002322880318388343
2,*C(*)=O,0.003484320593997836
3,*SC(C)(C)C(*)*,0.002322880318388343
4,*C(*)N(*)*,0.002322880318388343
5,*C(=O)C(*)*,0.004645760636776686
6,*N*,0.004645760636776686
7,*C(=O)C(*)N,0.002322880318388343
8,*c1ccccc1,0.008130080997943878
9,*CCC,0.0
10,*C(=*)C(*)(C)C(*)(F)C(*)C(*)C(*)(C)C(*)(*)C(*)*,0.005807200912386179
11,*CC(*)F,0.004645760636776686
12,*CCC(=O)C=*,0.004645760636776686
13,*CC(*)O,0.005807200912386179
14,*C(=O)CO,0.003484320593997836
15,*N(C)C,0.003484320593997836
16,*OC,0.004645760636776686
17,*c1cc(*)c(*)c(*)c1,0.002322880318388343
18,*CCCC(*)=O,0.002322880318388343
19,*CCC*,0.003484320593997836
20,*c1ccc(F)cc1,0.006968641187995672
21,*CCCC,0.0
22,*C(*)C,0.0011614401591941714
23,*N1CCCCCC1,0.0011614401591941714
24,*CC(*)=O,0.003484320593997836
25,*NC,0.010452961549162865
26,*c1ccccc1Cl,0.005807200912386179
27,*C(=O)C(*)(*)*,0.002322880318388343
28,*C(=O)C(*)C(=O)O,0.0
29,*C(=O)O,0.008130080997943878
30,*CC,0.004645760636776686
31,*N(*)*,0.005807200912386179
32,*CC*,0.003484320593997836
33,*c1ccc(Cl)cc1,0.008130080997943878
34,*C(=*)C(*)(C)C(*)(F)C(*)C(*)C(*)(*)C,0.005807200912386179
35,*CCC(*)(*)O,0.002322880318388343
36,*C1CCN(*)CC1,0.003484320593997836
37,*OC(C)(C)O*,0.0011614401591941714
38,*CO*,0.002322880318388343
39,*C#C,0.005807200912386179
40,*CC(*)C,0.008130080997943878
41,*c1ccc(*)c(*)c1,0.004645760636776686
42,*C(C)=O,0.004645760636776686
43,*C(=*)C(*)(C)C(*)C(*)C(*)C(*)(*)C,0.0011614401591941714
44,*CCC(*)O,0.003484320593997836
45,*C(N)=O,0.02787456475198269
46,*c1ccncc1,0.005807200912386179
47,*N1CCN(*)CC1,0.005807200912386179
48,*c1cccc(Cl)c1,0.006968641187995672
49,*N1CCN(C)CC1,0.005807200912386179
50,*C(*)=C,0.003484320593997836
51,*c1c(O)ccc(Cl)c1*,0.002322880318388343
52,*C(=*)O,0.0011614401591941714
53,*C(=*)C(*)*,0.003484320593997836
54,*C(*)C(*)(*)O,0.003484320593997836
55,*C(=O)C(C(=O)C(*)*)=C(N)O,0.009291521273553371
56,*C(*)O,0.004645760636776686
57,*C1CN(*)CCN1*,0.002322880318388343
58,*N1CCC(O)C1,0.0011614401591941714
59,*c1ccccc1*,0.004645760636776686
60,*CN,0.006968641187995672
61,*C1OC(*)C(O)C(O)C1N,0.005807200912386179
62,*C1C(N)CC(N)C(*)C1O,0.0
63,*C1OC(*)C(O)C(N)C1O,0.004645760636776686
64,*CO,0.002322880318388343
65,*CC(*)*,0.002322880318388343
66,*C(*)*,0.002322880318388343
67,*c1cccc(*)c1*,0.016260161995887756
68,*CC(*)C*,0.0011614401591941714
69,*c1ccc(*)c(*)c1*,0.004645760636776686
70,*OCO*,0.0011614401591941714
71,*C(O)C(Cl)(Cl)Cl,0.003484320593997836
72,*S*,0.0011614401591941714
73,*CCO,0.004645760636776686
74,*CCCC(*)*,0.004645760636776686
75,*C(F)(F)F,0.003484320593997836
76,*c1cccc(*)c1,0.008130080997943878
77,*N1CCCCC1,0.009291521273553371
78,*C(C)C,0.0011614401591941714
79,*C1CCCCC1,0.0
80,*CCCC*,0.008130080997943878
81,*CC(N)=O,0.0
82,*C(=O)C(*)=NOC,0.002322880318388343
83,*SCC(*)=C(*)*,0.002322880318388343
84,*c1nnnn1C,0.002322880318388343
85,*c1csc(N)n1,0.003484320593997836
86,*C(*)CC,0.003484320593997836
87,*c1c(O)oc2ccccc2c1=O,0.002322880318388343
88,*ON=C(*)C(*)=O,0.044134728610515594
89,*CC(=O)O,0.0
90,*c1ccc(O)cc1,0.018583042547106743
91,*c1ccnc(*)c1,0.003484320593997836
92,*N1CCOCC1,0.004645760636776686
93,*c1[nH]c2ccccc2c1*,0.0
94,*N(*)C,0.003484320593997836
95,*c1ccc(Cl)c(Cl)c1,0.0
96,*c1ccc(Cl)cc1*,0.002322880318388343
97,*C(*)C(*)*,0.004645760636776686
98,*C(=O)C(*)(C)C,0.004645760636776686
99,*N1CCC(*)(*)CC1,0.002322880318388343
100,*C1CCC(N)C(*)O1,0.002322880318388343
101,*C(=O)CN,0.005807200912386179
102,*c1ccccn1,0.005807200912386179
103,*N1CCNCC1,0.009291521273553371
104,*C1=C(C)NC(C)=C(*)C1*,0.003484320593997836
105,*[N+](=O)[O-],0.0011614401591941714
106,*CC=C,0.005807200912386179
107,*C(O)CN,0.003484320593997836
108,*c1cccc(O)c1,0.0011614401591941714
109,*C(*)=*,0.002322880318388343
110,*CCC(*)=O,0.006968641187995672
111,*CC(C)C(*)*,0.002322880318388343
112,*C=CC(=O)C=*,0.002322880318388343
113,*CC=O,0.003484320593997836
114,*C1OC(C)C(*)C(*)C1O,0.002322880318388343
115,*C1OC(*)C(O)C(O)C1O,0.0
116,*c1ccc(*)cc1,0.0011614401591941714
117,*c1ccc(O)c(O)c1,0.004645760636776686
118,*S(N)(=O)=O,0.005807200912386179
119,*CC(C)C(*)(*)O,0.0011614401591941714
120,*C#N,0.003484320593997836
121,*c1c(Cl)cccc1Cl,0.008130080997943878
122,*N1CCCC1,0.003484320593997836
123,*c1ccc(O)c(*)c1*,0.004645760636776686
124,*c1nc2ccccc2c(*)c1*,0.006968641187995672
125,*CCCC(=O)O,0.005807200912386179
126,*C(=O)C(*)C,0.004645760636776686
127,*C1CC1,0.0
128,*C(*)(*)O,0.002322880318388343
129,*CC(*)C(*)=O,0.004645760636776686
130,*S(*)(=O)=O,0.005807200912386179
131,*C(C)(C)C,0.0011614401591941714
132,*CC(*)N(*)C*,0.0011614401591941714
133,*c1c(*)c(O)c(*)c(*)c1O,0.004645760636776686
134,*c1c(O)c(=O)ccn1*,0.005807200912386179
135,*C1CC(*)(C)C(O)C(C)O1,0.0011614401591941714
136,*C1CC(C)OC(*)C1O,0.002322880318388343
137,*C1(*)C(=O)NC(=O)NC1=O,0.005807200912386179
138,*CC(O)C*,0.0
139,*C=C*,0.002322880318388343
140,*C(=O)CC,0.0011614401591941714
141,*CC(C)C(*)(*)*,0.0
142,*C1=CCC=CC1,0.002322880318388343
143,*CC=*,0.0011614401591941714
144,*C(*)C(*)C(*)(CCN(*)C)C(*)*,0.004645760636776686
145,*c1cccnc1,0.002322880318388343
146,*c1ccc(O)cc1*,0.0
147,*C1CC(*)N(C)C1,0.003484320593997836
148,*SC,0.013937282375991344
149,*NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(*)C(C)C(*)C=CO*,0.004645760636776686
150,*C(*)(*)C,0.08246225118637085
151,*c1cccc(O)c1*,0.003484320593997836
152,*C(*)(C)O,0.005807200912386179
153,*n1ccnc1,0.002322880318388343
154,*NC(O)=C(C(*)=O)N(C)S(*)(=O)=O,0.0
155,*C(*)(C)C,0.004645760636776686
156,*C1CCCN1*,0.006968641187995672
157,*c1cc(*)c(*)cc1*,0.003484320593997836
158,*c1nnnn1*,0.0011614401591941714
159,*c1cc(*)c(Cl)cc1*,0.002322880318388343
160,*CCC=*,0.002322880318388343
161,*C(*)(*)*,0.0
162,*C(=O)NC(*)C(=O)NC(*)C(=O)NC(*)C(=O)NC(*)C(*)=O,0.003484320593997836
163,*CCCN,0.004645760636776686
164,*CCCl,0.004645760636776686
165,*S(C)(=O)=O,0.002322880318388343
166,*C1CC(*)C(*)C(C)O1,0.005807200912386179
167,*C1C(C)C(=O)C2(CO2)CC(C)C(*)C(C)C(*)C(C)C(=O)OC(C)C1C,0.0011614401591941714
168,*CCC(*)C*,0.0011614401591941714
169,*C1OC(C)C(O)C(O)C1O,0.0
170,*CCC(*)*,0.002322880318388343
171,*c1ccc(*)o1,0.004645760636776686
172,*c1noc(*)n1,0.0011614401591941714
173,*c1ncn(-c2cccc(Cl)c2*)c1*,0.005807200912386179
174,*CN(C)C(*)=O,0.002322880318388343
175,*C(=O)C(*)O,0.006968641187995672
176,*C1CC(N)C(*)C(O)C1*,0.0011614401591941714
177,*C(*)C(*)C(*)C(*)(*)C,0.03484320640563965
178,*c1c(*)c(*)c(O)c(C)c1*,0.003484320593997836
179,*C(C)C(*)O,0.002322880318388343
180,*C1COC(*)(*)O1,0.002322880318388343
181,*c1ccc(Cl)cc1Cl,0.0
182,*C1CC(=O)OC(C)CC=CC=CC(O)C(C)CC(*)C(*)C1*,0.003484320593997836
183,*C1CC(C)(O)C(*)C(C)O1,0.003484320593997836
184,*CC(N)C(=O)O,0.0
185,*c1ccc(O)c(*)c1,0.002322880318388343
186,*c1ccco1,0.0011614401591941714
187,*CCC(*)(*)*,0.003484320593997836
188,*C1CC(O)C(O)C(C)O1,0.004645760636776686
189,*=Cc1ccc(O)cc1,0.004645760636776686
190,*NN,0.003484320593997836
191,*CCN,0.002322880318388343
192,*c1nnc(C)s1,0.0011614401591941714
193,*C1OCC(C)(O)C(*)C1O,0.0011614401591941714
194,*C(=O)C(C)(C)C,0.008130080997943878
195,*C=NC(*)C(*)=O,0.005807200912386179
196,*C1C(N)CC(N)C(O)C1O,0.005807200912386179
