motif_id,motif,mage_prob_importance,label_0_score,label_1_score
0,*C*,0.7708221673965454,0.014704075641930103,0.016669861972332
1,*O*,0.6163401007652283,0.0015651339199393988,0.007795767858624458
2,*C(*)=O,0.6832993030548096,0.001730771386064589,0.0056883967481553555
3,*SC(C)(C)C(*)*,0.8812639713287354,0.0004443416546564549,0.009616484865546227
4,*C(*)N(*)*,0.8121451139450073,0.0005277074524201453,0.010584941133856773
5,*C(=O)C(*)*,0.7507929801940918,0.0006318887462839484,0.01041887141764164
6,*N*,0.737702488899231,0.003542977152392268,0.015845853835344315
7,*C(=O)C(*)N,0.6809398531913757,0.00036184207419864833,0.006286137737333775
8,*c1ccccc1,0.8462628722190857,0.0021642225328832865,0.0008890777244232595
9,*CCC,0.7838723659515381,0.00562583701685071,0.002023102482780814
10,*C(=*)C(*)(C)C(*)(F)C(*)C(*)C(*)(C)C(*)(*)C(*)*,0.9936845898628235,0.0015471867518499494,8.694313874002546e-05
11,*CC(*)F,0.887959897518158,0.010499624535441399,0.0007465915405191481
12,*CCC(=O)C=*,0.7498027086257935,0.00010173576447414234,3.443228706601076e-05
13,*CC(*)O,0.7052391767501831,0.0011229494120925665,0.001589871826581657
14,*C(=O)CO,0.5129420757293701,0.0001403811329510063,0.0006245897966437042
15,*N(C)C,0.697772204875946,0.0005501257837750018,0.0020493189804255962
16,*OC,0.6077465415000916,0.0005960986018180847,0.004246670752763748
17,*c1cc(*)c(*)c(*)c1,0.9119201898574829,0.006139775738120079,0.0010735377436503768
18,*CCCC(*)=O,0.7465844750404358,9.97050738078542e-05,0.00015587448433507234
19,*CCC*,0.8172685503959656,0.005180679261684418,0.0008523901924490929
20,*c1ccc(F)cc1,0.913553774356842,0.0034107763785868883,7.09315554558998e-06
21,*CCCC,0.8064922094345093,0.006210733205080032,0.0012313870247453451
22,*C(*)C,0.7971027493476868,0.0033303378149867058,0.0030592335388064384
23,*N1CCCCCC1,0.8112560510635376,0.00022463174536824226,0.0035297698341310024
24,*CC(*)=O,0.7052391767501831,0.0018387030577287078,0.00374794052913785
25,*NC,0.699463427066803,0.0011230474337935448,0.007343776989728212
26,*c1ccccc1Cl,0.8662682175636292,0.001599722309038043,0.0007170439348556101
27,*C(=O)C(*)(*)*,0.7857041358947754,4.7537967475363985e-05,0.010727041400969028
28,*C(=O)C(*)C(=O)O,0.42539554834365845,1.2252804481249768e-05,0.005336853675544262
29,*C(=O)O,0.45664218068122864,0.000649617169983685,0.01757773943245411
30,*CC,0.7594289183616638,0.0077964914962649345,0.005379085894674063
31,*N(*)*,0.7662805318832397,0.0007311661611311138,0.0008951631607487798
32,*CC*,0.7950502038002014,0.013559709303081036,0.00310149765573442
33,*c1ccc(Cl)cc1,0.865679919719696,0.0016071762656792998,8.878483640728518e-05
34,*C(=*)C(*)(C)C(*)(F)C(*)C(*)C(*)(*)C,0.9842500686645508,0.0016472244169563055,0.00012903792958240956
35,*CCC(*)(*)O,0.7858560681343079,0.0003351645136717707,0.00021080496662762016
36,*C1CCN(*)CC1,0.8209304213523865,8.625572809251025e-05,1.014110694086412e-05
37,*OC(C)(C)O*,0.6494103074073792,5.423181391961407e-06,1.2531605761978426e-06
38,*CO*,0.689717173576355,0.0026973921339958906,0.02197103574872017
39,*C#C,0.7594289183616638,0.00950919184833765,0.001392916077747941
40,*CC(*)C,0.8188422322273254,0.00024399926769547164,0.0013341092271730304
41,*c1ccc(*)c(*)c1,0.8937264680862427,0.0014409404247999191,0.0003022234595846385
42,*C(C)=O,0.6455339789390564,0.0012564265634864569,0.006375492084771395
43,*C(=*)C(*)(C)C(*)C(*)C(*)C(*)(*)C,0.9696503281593323,0.0008956484962254763,0.00021927569468971342
44,*CCC(*)O,0.7243146896362305,3.26045774272643e-05,0.0017210297519341111
45,*C(N)=O,0.6812917590141296,0.0007172040059231222,0.0041511571034789085
46,*c1ccncc1,0.7848954796791077,0.0006700147641822696,0.0010257678804919124
47,*N1CCN(*)CC1,0.7377036213874817,1.01116511359578e-05,8.178204734576866e-05
